Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, IL (Notes. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1945—1946,Pencil on paper,(15.2 x 21.5 cm.),"Mies van der Rohe Archive, gift of the architect",MR4512.281,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,458761,,,,,,,,,,,,
Portrait of M. Martin,Charles Boily,642,(French),(French),(0),(0),(male),1805,Physionotrace engraving,"3 1/4 × 2 9/16"" (8.0 × 6.5 cm)",Acquired through the generosity of John Parkinson III,278.1982,Photograph,Photography,1982-10-28,Y,49894,https://www.moma.org/collection/works/49894,https://www.moma.org/media/W1siZiIsIjIxMzQzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0c5ed345e653e005,,,,,8.0,,,6.5,,
Plate (facing page 38) from THE POET'S EYE,John Craxton,1299,"(British, 1922–2009)",(British),(1922),(2009),(male),1944,,"composition  8 1/16 x 5 7/16"" (20.5 x 13.8 cm)",Curt Valentin Bequest,72.1956.6,Illustrated Book,Drawings & Prints,1956-03-19,N,10984,,,,,,,20.5,,,13.8,,
Study for Dive Bomber and Tank,José Clemente Orozco,4430,"(Mexican, 1883–1949)",(Mexican),(1883),(1949),(male),1940,Ink on paper,"17 3/4 x 22"" (45.1 x 55.9 cm)",Latin American and Caribbean Fund through gift of Mr. and Mrs. David Rockefeller and of Agnes Gund; and Richard S. Zeisler Bequest (by exchange),345.2008.3,Drawing,Drawings & Prints,2008-04-08,Y,114838,https://www.moma.org/collection/works/114838,https://www.moma.org/media/W1siZiIsIjE4MjY4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=688086ec1c12bce4,,,,,45.0851,,,55.8801,,
Upon (for Parkett no. 98),Lee Kit,68021,"(Chinese, born 1978)",(Chinese),(1978),(0),(male),2016,Multiple of framed digital print and towel,"overall (framed print): 11 × 9 1/16 × 13/16"" (28 × 23 × 2 cm); overall (towel, folded, approx.): 5 1/8 × 13 × 16 9/16"" (13 × 33 × 42 cm)",Riva Castleman Endowment Fund,300.2017.a-b,Multiple,Drawings & Prints,2017-03-30,Y,220444,https://www.moma.org/collection/works/220444,https://www.moma.org/media/W1siZiIsIjQzMTAyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=910aea6db3a467ce,,,0.0,,19.6850393701,,,24.7650495301,,
"Michigan Avenue Office Building project, Chicago, IL (Plan.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1957,Pencil and colored pencil on tracing paper,(53.3 x 98.4 cm.),"Mies van der Rohe Archive, gift of the architect",MR5702.3,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,466232,,,,,,,,,,,,
"Dry Water (for Parkett, no. 100/101)",Pipilotti Rist,8297,"(Swiss, born 1962)",(Swiss),(1962),(0),(female),2017,"Multiple of Alamar Ice, rubber, and copper wire","overall (irreg.): 14 9/16 × 3 15/16 × 13/16"" (37 × 10 × 2 cm)",Monroe Wheeler Fund,645.2017,Multiple,Drawings & Prints,2017-10-18,Y,273230,https://www.moma.org/collection/works/273230,,,,2.0,,37.0,,,10.0,,
Lobsters and Fish (Homards et poissons),Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(male),"(January 7, 1949)",Lithograph,"composition: 29 1/8 x 40 3/8"" (74 x 102.6 cm); sheet: 31 1/8 x 43 1/8"" (79 x 109.5 cm)",Mrs. Bertram Smith Fund,785.1956,Print,Drawings & Prints,1956-12-19,Y,74050,https://www.moma.org/collection/works/74050,https://www.moma.org/media/W1siZiIsIjE2MTMwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=042abd5406eba36f,,,,,74.0,,,102.6,,
War Primer 2,"Adam Broomberg, Oliver Chanarin, Adam Broomberg and Oliver Chanarin Studio","43055, 43056, 43278","(South African, born 1970) (British, born 1971)",(South African) (British) (),(1970) (1971) (0),(0) (0) (0),(male) (male) (),2011,Artist book,"11 13/16 × 9 13/16 × 3/4"" (30 × 25 × 1.9 cm)",Gift of Paradise Row,440.2013,Photograph,Photography,2013-05-09,Y,166793,https://www.moma.org/collection/works/166793,https://www.moma.org/media/W1siZiIsIjM0NTM0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1302cd388ed06eff,,,1.90500381,,30.0,,,25.0,,
"Church of the Light, Ibaraki, Osaka, Japan",Tadao Ando,7055,"(Japanese, born 1941)",(Japanese),(1941),(0),(male),1984-89,Wood,"7 1/8 x 17 3/4 x 7"" (18.1 x 45.1 x 17.8 cm)",Gift of the architect in honor of Philip Johnson,404.1996,Architecture,Architecture & Design,1996-09-25,Y,1024,https://www.moma.org/collection/works/1024,https://www.moma.org/media/W1siZiIsIjIyOTUzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b20a1dd90dc416ad,,,17.78,,18.1,,,45.0851,,
Folio 11 from Igra v adu (A Game in Hell),Olga Rozanova,5066,"(Russian, 1886–1918)",(Russian),(1886),(1918),(female),"1913–14, published 1914",Lithograph with lithographed manuscript text from an illustrated book with 28 lithographs (including cover) with lithographed manuscript text,"composition (irreg.): 6 5/8 × 4 5/16"" (16.9 × 10.9 cm); page: 6 13/16 × 4 7/8"" (17.3 × 12.4 cm)","Gift of Donald Karshan, in honor of The Museum's 50th Anniversary",872.1978.12,Illustrated Book,Drawings & Prints,1979-01-23,N,26857,,,,,,,16.9,,,10.9,,
Calotypes by D.O. Hill,David Octavius Hill,2648,"(British, 1802–1870)",(British),(1802),(1870),(male),1843-47,Calotype,"2 5/16 × 3 7/8"" (5.9 × 9.8 cm)",Gift of Edward Steichen,75.1964.40,Photograph,Photography,1964-01-07,N,82982,,,,,,,5.9,,,9.8,,
Drawing 2 Hydra,Brice Marden,3758,"(American, 1938–2023)",(American),(1938),(2023),(male),1986,Gouache and ink on paper,"19 1/2 x 15 1/8"" (49.5 x 38.5 cm)",Gift of Mr. & Mrs. Maxime L. Hermanos (by exchange),266.1987,Drawing,Drawings & Prints,1987-09-17,Y,35775,https://www.moma.org/collection/works/35775,https://www.moma.org/media/W1siZiIsIjIzNTc1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0682f1504651cb1d,"""MoMA, Floor 4, 407""",,,,49.5,,,38.4,,
Plate (folio 27) from WOODCUTS,Antonio Frasconi,1975,"(American, born Uruguay. 1919–2013)",(American),(1919),(2013),(male),1957,"Woodcut, printed in black","irreg. composition  6 9/16 x 4 3/8"" (16.7 x 11.1 cm)",The Louis E. Stern Collection,834.1964.10,Illustrated Book,Drawings & Prints,1964-10-06,N,26087,,,,,,,16.7,,,11.1,,
"Variant of in-text plate from page 49 with +remarque- (supplementary suite, plate 23) from LYSISTRATA",František Kupka,3302,"(Czech, 1871–1957)",(Czech),(1871),(1957),(male),1908-1911,"Etching, printed in color","irreg. composition  5 11/16 x 4 11/16"" (14.5 x 11.9 cm)",,310.1966.57,Illustrated Book,Drawings & Prints,1966-05-10,N,15233,,,,,,,14.5,,,11.9,,
"Gingerbread House, Martha's Vineyard, Massachusetts",Walker Evans,1777,"(American, 1903–1975)",(American),(1903),(1975),(male),1932,Gelatin silver print,"6 1/4 × 4 3/8"" (15.9 × 11.1 cm)",Gift of Lincoln Kirstein,44.1933,Photograph,Photography,1933-04-13,Y,44634,https://www.moma.org/collection/works/44634,https://www.moma.org/media/W1siZiIsIjI1OTYxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f135367103beb866,,,,,15.9,,,11.1,,
Death as a Juggler (Revolution) [Tod als Jongleur (Revolution)],Christian Rohlfs,5000,"(German, 1849–1938)",(German),(1849),(1938),(male),(1918-19),Woodcut,"composition: 14 5/16 x 17 11/16"" (36.4 x 45 cm); sheet: 14 11/16 x 17 11/16"" (37.3 x 45 cm)",Given anonymously,144.1964,Print,Drawings & Prints,1964-02-11,Y,62940,https://www.moma.org/collection/works/62940,https://www.moma.org/media/W1siZiIsIjExNzE5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b35e5b9c613da900,,,,,36.4,,,45.0,,
"Johnstown, Pennsylvania",Lee Friedlander,2002,"(American, born 1934)",(American),(1934),(0),(male),1980,Gelatin silver print,"7 9/16 × 11 1/4"" (19.2 × 28.5 cm)",Purchase,838.2000,Photograph,Photography,2000-10-12,Y,56669,https://www.moma.org/collection/works/56669,https://www.moma.org/media/W1siZiIsIjQ2MzYwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=650c579e7b8e11e0,,,,,19.2,,,28.5,,
"Untitled, no. 11 of 69, from the illustrated book, Album",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(female),1994,Photolithograph,"vellum overlay: 8 1/4 × 5"" (21 × 12.7 cm); page: 8 1/4 × 10 1/2"" (21 × 26.6 cm)",Gift of the artist,196.1997.11,Illustrated Book,Drawings & Prints,1997-05-28,Y,177949,https://www.moma.org/collection/works/177949,https://www.moma.org/media/W1siZiIsIjMwMDkyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b0e387b4d2ccecfb,,,0.0,,21.0,,,12.7,,
Proun 2 C from Proun,El Lissitzky,3569,"(Russian, 1890–1941)",(Russian),(1890),(1941),(male),1920,"Lithograph from a portfolio of eleven lithographs and unique manifesto, colophon, front and back covers in gouache, ink, and pencil","composition: 11 3/4 x 7 15/16"" (29.8 x 20.1 cm); sheet: 17 7/8 x 14 1/16"" (45.4 x 35.7 cm)","Vincent d'Aquila and Harry Soviak Bequest, by exchange, Committee on Prints and Illustrated Books Fund, Orentreich Family Foundation, Sue and Edgar Wachenheim III Endowment, Mrs. Sash A. Spencer, Sue and Edgar Wachenheim III, Peter H. Friedland, Maud I. Welles, Deborah Wye Endowment Fund, Riva Castlemen Endowment Fund, Lily Auchincloss Fund, Monroe Wheeler Fund, and John M. Shapiro",591.2013.10,Print,Drawings & Prints,2013-05-21,Y,165517,https://www.moma.org/collection/works/165517,https://www.moma.org/media/W1siZiIsIjI3NjQ5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6784ca0606b41090,,,,,29.8,,,20.1,,
"Palm Bay Seafront Hotel and Convention Center Project, Agadir, Morocco","Rem Koolhaas, Winy Maas, Elizabeth Alford, Xaveer de Geyter, Ray Maggiore, Vince Scirano, Ron Steiner, Yushi Uehara","6956, 7575, 7576, 7581, 7577, 7578, 7579, 8933","(Dutch, born 1944) (Dutch, born 1959) (American, born 1967) (Dutch, born 1970) (American, born 1964) (American, born 1966) (American, born 1952) (Japanese, born 1964)",(Dutch) (Dutch) (American) (Dutch) (American) (American) (American) (Japanese),(1944) (1959) (1967) (1970) (1964) (1966) (1952) (1964),(0) (0) (0) (0) (0) (0) (0) (0),(male) (male) (female) (male) (male) (male) (male) (male),1990,"Plaster, aluminium, and goldplate","5 5/8 x 27 3/8 x 27 3/8"" (14.3 x 69.6 x 69.6 cm)",Gift of the architect in honor of Philip Johnson,414.1996,Architecture,Architecture & Design,1996-09-25,Y,1035,https://www.moma.org/collection/works/1035,https://www.moma.org/media/W1siZiIsIjIxMTI5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7862bf030093289f,,,69.6,,14.3,,,69.6,,
Plate (page 15) from The Rime of the Ancient Mariner,Henry Pearson,4530,"(American,1914–2006)",(American),(1914),(2006),(male),1964,Lithograph from an illustrated book with fifteen lithographs (including folder lining),"composition (diameter): 6 7/8"" (17.4 cm); page: 12 1/8 × 11 1/16"" (30.8 × 28.1 cm)","Gift of Kleiner, Bell and Co.",1351.1967.4,Illustrated Book,Drawings & Prints,1969-12-04,Y,32169,https://www.moma.org/collection/works/32169,https://www.moma.org/media/W1siZiIsIjU0MDg2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0c7c0c7cbdf87e5e,,,,,17.4,,,,,
WASP-ECHO. (Wespe - Echo),Hann Trier,5932,"(German, 1915–1999)",(German),(1915),(1999),(male),1965,"Aquatint on cut plates, printed in color","Plate 20 x 12 3/8"" (50.7 x 31.5 cm) Sheet 29  7/8 x 21 15/16"" (75.8 x 55.8 cm)",Gertrud A. Mellon Fund,80.1967,Print,Drawings & Prints,1967-02-09,N,61517,,,,,,,50.7,,,31.5,,
"IIT Robert F. Carr Memorial Chapel of Saint Savior, Chicago, IL (Structural details. Sections, perspective. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1949—1952,Pencil on paper,(15.2 x 21.5 cm.),"Mies van der Rohe Archive, gift of the architect",MR4903.3,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,459045,,,,,,,,,,,,
"STUDY (plate, folio 15) from DO IT YOURSELF",Horst Antes,194,"(German, born 1936)",(German),(1936),(0),(male),1967,,"irreg composition  16 1/8 x 19 3/8"" (41 x 49.3 cm)",Mrs. Donald B. Straus Fund,742.1968.13,Illustrated Book,Drawings & Prints,1968-06-04,N,22399,,,,,,,41.0,,,49.3,,
Figure 3 from Color Numeral Series,Jasper Johns,2923,"(American, born 1930)",(American),(1930),(0),(male),1969,One from a series of ten lithographs,"composition (irreg.): 27 5/8 x 21 1/2"" (70.1 x 54.6 cm); sheet: 37 13/16 x 31 5/16"" (96 x 79.5 cm)",Gift of The Philip and Lynn Straus Foundation Fund,368.1987,Print,Drawings & Prints,1987-10-20,Y,67908,https://www.moma.org/collection/works/67908,https://www.moma.org/media/W1siZiIsIjQ2MzQ0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f894850654f6c68a,,,,,70.1,,,54.6,,
Henri Cartier-Bresson,Dorothy Norman,4334,"(American, 1905–1997)",(American),(1905),(1997),(female),1946,Gelatin silver print,"3 9/16 × 2 3/16"" (9 × 5.5 cm)",Gift of Dorothy Norman,323.1993,Photograph,Photography,1993-10-14,Y,50764,https://www.moma.org/collection/works/50764,https://www.moma.org/media/W1siZiIsIjE5NDkxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4ebe99a68921c684,,,,,9.0,,,5.5,,
Seeing New York,Jules Pascin,4514,"(American, born Bulgaria. 1885–1930)",(American),(1885),(1930),(male),1916,Etching,"Plate 4 3/4 x 6"" (12.0 x 15.3 cm) Sheet 11  1/4 x 14"" (28.5 x 35.6 cm)",Gift of Mrs. Edith G. Halpert,73.1949,Print,Drawings & Prints,1949-03-24,N,61286,,,,,,,12.0,,,15.3,,
Lidl-Block,Jörg Immendorff,2807,"(German, 1945–2007)",(German),(1945),(2007),(male),1967,Painted wood and nylon string,"Block 3 7/8 x 8 x 4"" (9.8 x 20.3 x 10.2 cm), string 83 3/4"" (212.7 cm) long",Purchase,1348.2001,Sculpture,Painting & Sculpture,2001-05-07,Y,82037,https://www.moma.org/collection/works/82037,https://www.moma.org/media/W1siZiIsIjUzMDIzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da3694a82a6817ce,,,10.2,,9.8,,,20.3,,
Double page in-text plate (folios 11 verso and 12) from AIR,Antoni Tàpies,5809,"(Spanish, 1923–2012)",(Spanish),(1923),(2012),(male),1971,"Soft ground etching and lift ground aquatint, printed in color","irreg. composition  6 5/8 x 17 1/4"" (16.8 x 43.9 cm)",Gift of Carol O. Selle,314.1972.11,Illustrated Book,Drawings & Prints,1972-10-05,N,15443,,,,,,,16.8,,,43.9,,
"6 Punktebilden die Vorzüge der Stopfbüchslosen Rheinhütte Säurepumpen, Weise Söhne, Halle/Saale",Kurt Schwitters,5293,"(German, 1887–1948)",(German),(1887),(1948),(male),c. 1927,Letterpress,"11 3/4 x 8 3/4"" (29.8 x 22.2 cm)","Jan Tschichold Collection, Gift of Philip Johnson",925.1999,Design,Architecture & Design,1999-12-10,Y,8383,https://www.moma.org/collection/works/8383,https://www.moma.org/media/W1siZiIsIjUzMTE1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=01a80f502c76c7a5,,,,,29.8,,,22.2,,
"STARS AND THE SYMPHONY, THEATRE OF HERODES ATTICUS, ATHENS, plate 3 (folio 12) from AN AEGEAN NOTE-BOOK",Roloff Beny,484,"(Canadian, 1924–1984)",(Canadian),(1924),(1984),(male),(1948-50),,"irreg. composition  8 7/16 x 9"" (21.5 x 22.9 cm)",Gift of Mrs. Hazel McKinley,35.1953.4,Illustrated Book,Drawings & Prints,1953-01-30,N,10545,,,,,,,21.5,,,22.9,,
Advertisement for a Housing Rental Office (Verloop Woning Bureau),Piet Zwart,6592,"(Dutch, 1885–1977)",(Dutch),(1885),(1977),(male),1923,Letterpress,"17 5/8 × 17 5/8"" (44.8 × 44.8 cm)",The Merrill C. Berman Collection. Lee Simonsen Bequest (by exchange),719.2018,Design,Architecture & Design,2018-03-21,Y,218003,https://www.moma.org/collection/works/218003,https://www.moma.org/media/W1siZiIsIjQzOTE4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=65c3b6885f250f30,,,0.0,,44.7675895352,,,44.7675895352,,
"Canto XXVII: Circle Eight, Bolgia 8, The Evil Counselors from the series Thirty-Four Illustrations for Dante's Inferno",Robert Rauschenberg,4823,"(American, 1925–2008)",(American),(1925),(2008),(male),1959-60,"Solvent transfer drawing, watercolor, gouache, and pencil on paper","14 3/8 × 11 3/8"" (36.5 × 28.9 cm)",Given anonymously,346.1963.27,Drawing,Drawings & Prints,1963-06-12,Y,36738,https://www.moma.org/collection/works/36738,https://www.moma.org/media/W1siZiIsIjI4MzEyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2d7c9a67218e4e2b,,,,,36.5,,,28.9,,
Untitled (#8) from Walls V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(male),1969,One from a portfolio of eleven lithographs,"composition: 23 1/16 × 19 5/16"" (58.5 × 49 cm); sheet: 23 1/16 × 19 5/16"" (58.5 × 49 cm)","Gift of Kleiner, Bell & Co.",252.1970.8,Print,Drawings & Prints,1974-01-10,Y,65278,https://www.moma.org/collection/works/65278,https://www.moma.org/media/W1siZiIsIjU0MzA2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bcbed1b7cdf2a0fb,,,,,58.5,,,49.0,,
"(Larger Black Square) (tailpiece, page 31) from O NOVYKH SISTEMAKH V ISKUSSTVE (ON NEW SYSTEMS IN ART)",Kazimir Malevich,3710,"(Russian, born Ukraine. 1878–1935)",(Russian),(1878),(1935),(male),1919,"Lithograph, printed in black","composition  2 15/16 x 2 15/16"" (7.5 x 7.5 cm)",Mrs. Gilbert W. Chapman Fund,356.1980.3,Illustrated Book,Drawings & Prints,1980-02-25,N,16207,,,,,,,7.5,,,7.5,,
Percomunicazioni from Insicuro Noncurante,Alighiero Boetti,630,"(Italian, 1940–1994)",(Italian),(1940),(1994),(male),1966-75,One from a portfolio of eighty two mixed media prints,"each: 21 5/8 x 17 11/16"" (55 x 45 cm)",Committee on Prints and Illustrated Books Fund with support from Marie-Josée and Henry R. Kravis,898.2010.18,Print,Drawings & Prints,2010-11-10,Y,156985,https://www.moma.org/collection/works/156985,https://www.moma.org/media/W1siZiIsIjI0MDk5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e2ae4763eee80015,,,,,55.0,,,45.0,,
Sierra Meadow,Ansel Adams,60,"(American, 1902–1984)",(American),(1902),(1984),(male),1930,Gelatin silver print,"6 × 7 7/8"" (15.3 × 20 cm)",Purchase,535.1971,Photograph,Photography,1971-11-10,Y,54822,https://www.moma.org/collection/works/54822,https://www.moma.org/media/W1siZiIsIjE5ODI0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=acd62e010316c2b7,,,,,15.3,,,20.0,,
Untitled,Unidentified photographer,8595,,(),(0),(0),(),c. 1940,Gelatin silver print,"3 3/8 × 4 7/8"" (8.6 × 12.4 cm)",Gift of Peter J. Cohen,716.2010,Photograph,Photography,2010-10-07,Y,141054,https://www.moma.org/collection/works/141054,https://www.moma.org/media/W1siZiIsIjM0MTU5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=31cd66298d5fffc7,,,,,8.6,,,12.4,,
Hanover Square,Louis Lozowick,3617,"(American, born Ukraine. 1892–1973)",(American),(1892),(1973),(male),1929,Lithograph,"composition: 14 11/16 x 8 15/16"" (37.3 x 22.7 cm); sheet: 18 13/16 x 13 11/16"" (47.8 x 34.8 cm)",Gift of Abby Aldrich Rockefeller,1215.1940,Print,Drawings & Prints,1940-04-05,Y,76076,https://www.moma.org/collection/works/76076,https://www.moma.org/media/W1siZiIsIjIyNDQyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e23458f84ea8c487,"""MoMA, Floor 5, 501""",,,,37.3,,,22.7,,
"ATC (Argentina Televisora Color), Buenos Aires, Argentina","Flora Manteola, Javier Sánchez Gómez, Josefa Santos, Justo Solsona, Carlos Sallaberry, Rafael Viñoly, Felipe Tarsitano","44160, 44161, 44162, 44163, 46149, 7229, 46151","(Argentine, born 1936) (Argentine, born 1936) (Argentine, born 1931) (Argentine, born 1931) (Argentine) (American, born Uruguay 1944) (Argentine)",(Argentine) (Argentine) (Argentine) (Argentine) (Argentine) (American) (Argentine),(1936) (1936) (1931) (1931) (0) (1944) (0),(0) (0) (0) (0) (0) (0) (0),(female) (male) (female) (male) (male) (male) (male),1977,Ink on vellum,various,Gift of MSGSSS,698.2014.1-10,Architecture,Architecture & Design,2014-10-06,N,187448,,,,,,,,,,,,
"Page from Sketchbook #27, New York City",Ellsworth Kelly,3048,"(American, 1923–2015)",(American),(1923),(2015),(male),1954-58,"Page from a sketchbook with pencil, ink, felt-tip pen, watercolor, and cut-and-pasted colored and printed paper","8 1/2 × 5 1/2"" (21.6 × 14 cm)",Gift of Jack Shear,348.2020.74,Notebook,Drawings & Prints,2020-12-09,N,440548,,,,,0.0,,21.6,,,14.0,,
"Wolf House, Gubin, Poland (Section and plan: wall vitrine)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1925-1927,Pencil and colored pencil on tracing paper,"30 1/2 x 34 1/2"" (77.5 x 87.6 cm)","Mies van der Rohe Archive, gift of the architect
",MR30.111,Mies van der Rohe Archive,Architecture & Design,,N,185382,,,,,,,77.4701549403,,,87.6301752604,,
"Interrogations sur l'art, Discours sur l'art  (Interrogations into Art, Discourse on Art)",Lea Lublin,41804,"(Argentine, born Poland 1929)",(Argentine),(1929),(1999),(female),1975,"Synthetic polymer paint on fabric, wood, and string","110 1/4 x 70 7/8"" (280 x 180 cm)","Acquired through the generosity of The Modern Women's Fund, the Latin American and Caribbean Fund, Estrellita Brodsky, and Mauro Herlitzka",811.2012,Textile,Media and Performance,2012-06-06,Y,160309,https://www.moma.org/collection/works/160309,https://www.moma.org/media/W1siZiIsIjMxOTU0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=36e8e30305c2db7e,,,0.0,,280.0,,,180.0,,
Jitterbugs II,William H. Johnson,22989,"(American, 1901–1970)",(American),(1901),(1970),(male),c. 1941,Screenprint and pochoir with hand additions,"composition and sheet: 17 x 13 3/4"" (43.2 x 35 cm)","Gift of Abby Aldrich Rockefeller (by exchange), Committee on Prints and Illustrated Books Fund, The General Print Fund, The Sue and Edgar Wachenheim III Endowment, Dian Woodner, and Gift of Jake Milgram Wien",284.2014,Print,Drawings & Prints,2014-05-14,Y,174749,https://www.moma.org/collection/works/174749,https://www.moma.org/media/W1siZiIsIjI5OTk5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a4d2af62cee3870e,,,,,43.2,,,35.0,,
Decasia,Bill Morrison,31242,"(American, born 1965)",(American),(1965),(0),(male),2001,"35mm film (color, sound)",67 min.,Acquired from the Artist,14944,Film,Film,2002-05-01,N,107661,,,,,,,,,,,,4020.0
"Dunes, Oceano",Edward Weston,6329,"(American, 1886–1958)",(American),(1886),(1958),(male),1936,Gelatin silver print,"7 1/2 × 9 1/2"" (19.1 × 24.1 cm)",Gift of David H. McAlpin,439.1956,Photograph,Photography,1956-10-25,Y,53390,https://www.moma.org/collection/works/53390,https://www.moma.org/media/W1siZiIsIjIwODk0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1f63a0a4500fe3cf,,,,,19.1,,,24.1,,
Children Playing,Jan Cox,1284,"(Belgian, 1919–1980)",(Belgian),(1919),(1980),(male),"August 8, 1949.",Lithograph,"composition: 18 9/16 x 14 13/16"" (47.1 x 37.7cm); sheet: 25 1/16 x 19 1/8"" (63.6 x 48.5cm)",Given anonymously,514.1951,Print,Drawings & Prints,1951-11-21,Y,70335,https://www.moma.org/collection/works/70335,https://www.moma.org/media/W1siZiIsIjIxNDczOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7cdf7a66c0c1a0d5,,,,,47.1,,,37.7,,
100 Years,Hans-Peter Feldmann,8045,"(German, 1941–2023)",(German),(1941),(2023),(male),2001,Gelatin silver print,"12 × 9 1/2"" (30.5 × 24.1 cm)","The Photography Council Fund, and Vital Projects Fund, Robert B. Menschel",902.2016.53,Photograph,Photography,2016-10-13,Y,216058,https://www.moma.org/collection/works/216058,https://www.moma.org/media/W1siZiIsIjQyMDM4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=28cb856928fe99a6,,,,,30.5,,,24.1,,
